id,Unique ID,FD sample ID,FD Run ID,Strain,Cryo mix,FD_recipe,Ferm Condition,FC,Aged,Aged_Temp,Aged_Weeks,DR_latest,Est_latest,ExtenderCFU_ml,ExtenderCFU_ml_SD,Application_loss_CFU,W0,W1,W2,W3,W4,W5,W6,W7,W8,SD0,SD1,SD2,SD3,SD4,SD5,SD6,SD7,SD8,Plated_W0,Plated_W1,Plated_W2,Plated_W3,Plated_W4,Plated_W5,Plated_W6,Plated_W7,Plated_W8,log_W0,log_W1,log_W2,log_W3,log_W4,log_W5,log_W6,log_W7,log_W8,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,,#VALUE!,,,,,,,,#VALUE!,#VALUE!,,,,,,
37,D,22PT1117-4,FDL-105D-T21,Kosakonia sacchari,SKP,,"Potato peptone only, less EPS, pH control",P only,no,,,-0.071,12.687,1.51E+09,1.62E+08,1.24,7.75E+04,2.77E+04,7.73E+03,,,,,,,1.16E+04,6.38E+03,1.85E+03,,,,,,,1/13/23,1/20/23,1/27/23,2/3/23,2/10/23,,,,,4.889114869,4.442479769,3.888179494,,,,,,,,0,7,14,21,28,,,,,,,4.889114869,4.907059065,4.907059065,4.907059065,4.907059065,4.907059065,4.907059065,4.907059065,,,-0.063805014,-0.071495384,,,,,,,,,13.93487454,12.68695984,,,,,,
39,E,23PT0119-2,FDL-105EF-T22,Kosakonia sacchari,PVT70%,,"repeat of P080-22-Y005, tryptone + potato peptone",T + P ,no,,,-0.037,64.708,1.25E+10,4.41E+09,1.08,9.20E+05,1.45E+05,1.65E+05,9.41E+04,5.72E+04,,,,2.14E+04,  3/28,,,,,,,,,1/30/23,2/6/23,2/13/23,2/21/23,2/27/23,,,,3/28/23,5.963787827,5.161368002,5.217483944,4.973589623,4.757396029,,,,4.330413773,,0,7,14,22,28,,,,57,,,5.963787827,5.820698533,5.754468926,5.733584007,5.733584007,5.733584007,5.733584007,5.592294312,,,-0.114631404,-0.05330742,-0.03957317,-0.036539361,,,,,,,17.13132498,34.15469226,44.33480892,47.44428948,,,,64.7083678
41,E,23PT0119-3,FDL-105EF-T23,Kosakonia sacchari,DSR,,"repeat of P080-22-Y005, tryptone + potato peptone",T + P ,no,,,-0.018,46.570,4.28E+09,1.55E+09,1.64,8.60E+04,6.11E+04,1.40E+04,3.72E+04,2.56E+04,,,,,,,,,,,,,,1/30/23,2/6/23,2/13/23,2/21/23,2/27/23,,,,,4.934498451,4.78604121,4.146128036,4.57054294,4.408239965,,,,,,0,7,14,22,28,,,,,,,4.934498451,5.016407774,4.855131632,4.818733712,4.818733712,4.818733712,4.818733712,4.818733712,,,-0.021208177,-0.056312173,-0.022867811,-0.017580535,,,,,,,44.06311955,18.04952158,37.39455499,46.57046727,,,,
42,E,23PT0119-5,FDL-105EF-T24,Kosakonia sacchari,PVT70%,,tryptone only,T only,no,,,-0.022,73.235,1.07E+10,1.10E+09,1.31,4.61E+05,3.12E+05,2.63E+05,1.37E+05,1.19E+05,,,,2.28E+04,  3/28,,,,,,,,,1/30/23,2/6/23,2/13/23,2/21/23,2/27/23,,,,3/28/23,5.663700925,5.494154594,5.419955748,5.136720567,5.075546961,,,,4.357934847,,0,7,14,22,28,,,,57,,,5.663700925,5.647809678,5.673853944,5.6662494,5.6662494,5.6662494,5.6662494,5.681019009,,,-0.024220904,-0.01741037,-0.022811254,-0.021706594,,,,,,,68.6886374,94.6453004,73.37842601,76.76235923,,,,73.23454037
53,E,23PT0119-6,FDL-105EF-T25,Kosakonia sacchari,DSR,,tryptone only,T only,no,,,-0.015,99.586,1.29E+10,3.00E+09,1.51,3.55E+05,2.16E+05,1.92E+05,9.75E+04,1.07E+05,,,,,,,,,,,,,,1/30/23,2/6/23,2/13/23,2/21/23,2/27/23,,,,,5.550228353,5.334453751,5.283301229,5.283301229,5.029383778,,,,,,0,7,14,22,28,,,,,,,5.550228353,5.52279134,5.486190782,5.511685734,5.511685734,5.511685734,5.511685734,5.511685734,,,-0.030824943,-0.019066223,-0.011476246,-0.015179723,,,,,,,50.29136134,79.86853644,129.5014779,99.5858579,,,,
54,E,23PT0119-8,FDL-105EF-T26,Klebsiella variicola,PVT70%,,"repeat of P080-22-Y007, tryptone + potato peptone",T + P ,no,,,-0.022,76.901,2.13E+10,2.05E+09,0.90,2.40E+06,3.08E+05,6.93E+05,3.35E+05,2.65E+05,,,,3.05E+04,  3/28,,,,,,,,,1/30/23,2/6/23,2/13/23,2/21/23,2/27/23,,,,3/28/23,6.380211242,5.488550717,5.840733235,5.840733235,5.423245874,,,,4.484299839,,0,7,14,22,28,,,,57,,,6.380211242,6.172904068,6.068048464,6.100923125,6.100923125,6.100923125,6.100923125,6.181466642,,,-0.127380075,-0.038534143,-0.016789894,-0.021565371,,,,,,,18.6858992,56.38905859,123.1722193,97.42114571,,,,76.90051033
59,E,23PT0119-9,FDL-105EF-T27,Klebsiella variicola,DSR,,"repeat of P080-22-Y007, tryptone + potato peptone",T + P ,no,,,-0.014,73.054,2.35E+10,6.11E+08,1.64,4.80E+05,5.12E+05,3.85E+05,2.39E+05,1.84E+05,,,,2.04E+04,  3/28,,,,,,,,,1/31/23,2/7/23,2/14/23,2/21/23,2/27/23,3/2/23,,,3/28/23,5.681241237,5.709269961,5.58546073,5.58546073,5.264817823,,,,4.309630167,,0,7,14,21,27,30,,,56,,,5.681241237,5.706547563,5.702030778,5.755973973,5.755973973,5.755973973,5.755973973,5.896945432,,,0.004004103,-0.006841465,-0.005873582,-0.013820571,,,,,,,-419.8795789,249.4418376,289.7772969,127.055098,,,,73.05402902
60,E,23PT0119-12,FDL-105EF-T29,Klebsiella variicola,DSR,,tryptone only,T only,no,,,-0.032,63.527,2.04E+10,4.85E+09,1.41,7.12E+05,3.81E+05,1.03E+05,1.08E+05,1.17E+05,,,,1.81E+04,  3/28,,,,,,,,,1/31/23,2/7/23,2/14/23,2/21/23,2/27/23,,,,3/28/23,5.852479994,5.580924976,5.012837225,5.012837225,5.068185862,,,,4.257678575,,0,7,14,21,27,,,,56,,,5.852479994,5.901902116,5.827822263,5.744365363,5.744365363,5.744365363,5.744365363,5.682641038,,,-0.038793574,-0.059974483,-0.044100229,-0.03180524,,,,,,,47.7522384,31.71185486,41.44700126,54.84521992,,,,63.52652723
61,E,23PT0119-7,FDL-105G-T30,Klebsiella variicola,SKP,,"repeat of P080-22-Y007, tryptone + potato peptone",T + P ,no,,,-0.022,87.504,2.35E+10,6.11E+08,1.25,1.17E+06,4.72E+05,2.33E+05,1.67E+05,3.01E+05,,,,4.87E+04,  3/28,,,,,,,,,1/31/23,2/7/23,2/14/23,2/21/23,2/27/23,,,,3/28/23,6.068185862,5.673941999,5.367355921,5.367355921,5.478566496,,,,4.687528961,,0,7,14,21,27,,,,56,,,6.068185862,6.053576231,5.980571311,5.897861648,5.897861648,5.897861648,5.897861648,5.89061312,,,-0.056320552,-0.050059281,-0.03441537,-0.022230464,,,,,,,36.72169027,41.02288667,57.54903436,85.37210982,,,,87.50428712
62,E,23PT0119-10,FDL-105G-T31,Klebsiella variicola,SKP,,tryptone only,T only,no,,,-0.036,57.774,9.24E+09,1.89E+09,0.98,8.55E+05,3.11E+05,1.93E+05,1.18E+05,6.44E+04,,,,1.28E+04,  3/28,,,,,,,,,1/31/23,2/7/23,2/14/23,2/21/23,2/27/23,,,,3/28/23,5.931966115,5.492760389,5.285557309,5.285557309,4.808885867,,,,4.10720997,,0,7,14,21,27,,,,56,,,5.931966115,5.893299007,5.820924705,5.856573098,5.856573098,5.856573098,5.856573098,5.80166826,,,-0.062743675,-0.046172058,-0.030663279,-0.035915051,,,,,,,30.79140824,41.00529861,59.38454047,51.69345606,,,,57.77432993
