Unique ID,FD sample ID,FD Run ID,Strain,Cryo mix,Sub-Sample,Ferm Condition,Storage form,Temperature (°C),Container,Bulking,Desiccant,Quantity (g),Sample location,Week 0 CFU/g,Week 2 CFU/g,Week 4 CFU/g,Week 8 CFU/g,Week 12 CFU/g,decay_rate_fitted,Rsquared_fitted,decay_rate_errbar,decay_rate_lower95interval,decay_rate_upper95interval,estimate_day_2e10,Week 0 Aw,Week 2 Aw,Week 4 Aw,Week 8 Aw,Week 12 Aw,,,,
29,22PT1202-5,FDL-105A-T03,Kosakonia sacchari,PVT70%,pellet_4_mylar_n,"T+P, 0.7% XG",Pellet,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,6.61E+10,,7.75E+10,,,0.002467176,1,,,,-2.10E+02,0.194,,,,,,,,
30,22PT1202-5,FDL-105A-T03,Kosakonia sacchari,PVT70%,pellet_21_mylar_n,"T+P, 0.7% XG",Pellet,21,Mylar,PVT,5%SIO2,8,BINDER @D120,6.61E+10,,5.24E+10,4.67E+10,2.96E+10,-0.003926525,0.93250297,0.001464059,-0.005390584,-0.002462466,1.32E+02,0.194,,0.259,0.15,0.257,,,,
31,22PT1202-5,FDL-105A-T03,Kosakonia sacchari,PVT70%,bulked powder_4_mylar_n,"T+P, 0.7% XG",Bulked powder,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,3.27E+10,,2.66E+10,,3.84E+10,0.001124751,0.361231639,0.002931457,-0.001806705,0.004056208,-1.90E+02,0.262,,,,0.267,,,,
32,22PT1202-5,FDL-105A-T03,Kosakonia sacchari,PVT70%,unbulked powder_21_mylar_n,"T+P, 0.7% XG",Unbulked powder,21,Mylar,PVT,5%SIO2,8,BINDER @D120,6.61E+10,,4.90E+10,3.69E+10,,-0.00452333,0.999747899,0.000140782,-0.004664112,-0.004382548,1.15E+02,0.262,,0.267,0.257,,,,,
33,22PT1202-5,FDL-105A-T03,Kosakonia sacchari,PVT70%,bulked powder_21_mylar_n,"T+P, 0.7% XG",Bulked powder,21,Mylar,PVT,5%SIO2,8,BINDER @D120,3.27E+10,,5.32E+10,1.89E+10,1.31E+10,-0.005862813,0.628445134,0.006247653,-0.012110466,0.00038484,3.64E+01,0.262,,0.279,0.264,0.269,,,,
34,22PT1202-11,FDL-105A-T04,Klebsiella variicola,PVT70%,pellet_4_mylar_n,"T+P, 0.7% XG",Pellet,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,3.15E+11,,2.81E+11,,2.09E+11,-0.002152374,0.996425474,0.000252669,-0.002405043,-0.001899705,5.57E+02,0.074,,,,0.136,,,,
35,22PT1202-11,FDL-105A-T04,Klebsiella variicola,PVT70%,pellet_21_mylar_n,"T+P, 0.7% XG",Pellet,21,Mylar,PVT,5%SIO2,8,BINDER @D120,3.15E+11,,3.88E+10,1.20E+10,1.39E+09,-0.027048652,0.988159674,0.00410343,-0.031152081,-0.022945222,4.43E+01,0.074,,0.168,0.142,0.173,,,,
36,22PT1202-11,FDL-105A-T04,Klebsiella variicola,PVT70%,bulked powder_4_mylar_n,"T+P, 0.7% XG",Bulked powder,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,1.47E+11,,9.58E+10,,9.37E+10,-0.002031059,0.612562853,0.003165891,-0.00519695,0.001134832,4.27E+02,0.176,,,,0.19,,,,
37,22PT1202-11,FDL-105A-T04,Klebsiella variicola,PVT70%,unbulked powder_21_mylar_n,"T+P, 0.7% XG",Unbulked powder,21,Mylar,PVT,5%SIO2,8,BINDER @D120,3.15E+11,,3.80E+10,1.18E+10,,-0.02548178,0.973069549,0.008308598,-0.033790378,-0.017173182,4.70E+01,0.176,,0.221,0.194,,,,,
38,22PT1202-11,FDL-105A-T04,Klebsiella variicola,PVT70%,bulked powder_21_mylar_n,"T+P, 0.7% XG",Bulked powder,21,Mylar,PVT,5%SIO2,8,BINDER @D120,1.47E+11,,2.20E+10,5.49E+09,3.72E+09,-0.019283621,0.929956986,0.007334536,-0.026618158,-0.011949085,4.50E+01,0.176,,0.255,0.184,0.249,,,,
39,22PT1202-1,FDL-105B-T05,Kosakonia sacchari,SKP,pellet_4_mylar_n,"T+P, high EPS",Pellet,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,4.07E+10,,2.20E+10,,,-0.009498421,1,,,,3.24E+01,0.42,,,,,,,,
40,22PT1202-1,FDL-105B-T05,Kosakonia sacchari,SKP,bulked powder_4_mylar_n,"T+P, high EPS",Bulked powder,4,Mylar,PVT,5%SIO2,8,Deli case @ D120,1.33E+10,,9.88E+09,,,-0.004610525,1,,,,-3.84E+01,0.337,,,,,,,,
