ID,FD sample ID,FD Run ID,Strain,EFT date,Broth ID,Fermentation Scale,Ferm condition,EFT (hr),Broth titer (CFU/mL),Broth age (day),Pelletization date,Cryo mix,Ingredient 1,Ingredient 2,Ingredient 3,Cryo mix addition rate,FD start date,FD cycle recipe,FD pressure (mTorr),FD run time (hr),Primary ramp rate (C/min),PA receive date,Dry in-house,Dried appearance,Container,Water activity,Viability (CFU/g),Cryo mix Coef,Yield (%),Log Loss
34,IFF10202022-3,FDL-107B-T04,Kosakonia sacchari,,CR broth,150K,"Glucose, no EPS, CR",,,,10/20/22,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,1/24/23,PVT090-A1,380-580,53,,2/9/23,FALSE,friable cake,Foil pouch,0.29,1.11E+11,0.285,,
35,IFF12122022-1,FDL-107B-T05,Klebsiella variicola,,CR broth,150K,"Glucose, high EPS, CR",,,,12/12/22,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,1/24/23,PVT090-A1,380-580,53,,2/9/23,FALSE,free-flowing pellets,Foil pouch,0.21,2.72E+11,0.285,,
36,IFF12282022-1,FDL-107B-T06,Kosakonia sacchari,,CR broth,150K,"Glucose, no EPS, CR",,,,12/28/22,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,1/24/23,PVT090-A1,380-580,53,,2/9/23,FALSE,sticky to tray bottom,Foil pouch,0.39,1.07E+11,0.285,,
37,IFF10202022-4,FDL-107C-T08,Kosakonia sacchari,,CR broth,150K,"Glucose, no EPS, CR",,,,10/20/22,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,1/27/23,PVT090-A0,110-580,53,,2/9/23,FALSE,free-flowing with manual assist,Foil pouch,0.32,1.34E+11,0.285,,
38,IFF12122022-2,FDL-107C-T09,Klebsiella variicola,,CR broth,150K,"Glucose, high EPS, CR",,,,12/12/22,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,1/27/23,PVT090-A0,110-580,53,,2/9/23,FALSE,mostly free-flowing; some softened chunks,Foil pouch,0.42,2.53E+11,0.285,,
39,IFF10202022-5,FDL-107D-T12,Kosakonia sacchari,,CR broth,150K,"Glucose, no EPS, CR",,,,10/20/22,,45.5% Sucrose,22.75% Inulin,,0.28,1/27/23,PVT090-A2,280-580,53,,2/9/23,FALSE,free-flowing pellets,Foil pouch,0.3,1.41E+11,,,
40,IFF12122022-3,FDL-107D-T13,Klebsiella variicola,,CR broth,150K,"Glucose, high EPS, CR",,,,12/12/22,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,1/27/23,PVT090-A2,280-580,53,,2/9/23,FALSE,free-flowing pellets,Foil pouch,0.23,2.66E+11,0.285,,
41,IFF12282022-2,FDL-107D-T14,Kosakonia sacchari,,CR broth,150K,"Glucose, no EPS, CR",,,,12/28/22,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,1/27/23,PVT090-A2,280-580,53,,2/9/23,FALSE,"collapsed pellets, chunks, softened cake",Foil pouch,0.39,1.19E+11,0.285,,
42,23PT0126-1,FDL-105H-T35,Kosakonia sacchari,1/25/23,P010-23-Y005,14L,"Tryptone + potato peptone, lower top feed rate, no EPS",48,1.82E+11,1,1/26/23,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,0.5,2/3/23,OFD9-380,380,53,,2/9/23,FALSE,tan; free-flowing pellets; little/no dust,Foil pouch,0.07,84900000000,0.38,17.73,-0.75
43,23PT0126-4,FDL-105H-T37,Kosakonia sacchari,1/25/23,P010-23-Y005,14L,"tryptone + potato peptone, low top feed rate, no EPS, w 0.7% XG",48,1.82E+11,1,1/26/23,SKP,40% Sucrose,8% KH2PO4,10.2% K2HPO4,0.5,2/3/23,OFD9-380,380,53,,2/9/23,FALSE,"light tan; free-flowing pellets, little/no dust",Foil pouch,0.19,75400000000,0.38,15.74,-0.8
44,23PT0126-2,FDL-105K-T42,Kosakonia sacchari,1/25/23,P010-23-Y005,14L,"Tryptone + potato peptone, lower top feed rate, no EPS",48,1.82E+11,1,1/26/23,PVT70%,45.5% Sucrose,22.75% Inulin,,0.28,2/15/23,PVT380,380,26,,2/22/23,FALSE,light tan/white speckled pellets; free-flowing,Foil pouch,0.19,2.25E+11,0.285,35.23,-0.45
45,23PT0126-3,FDL-105K-T43,Kosakonia sacchari,1/25/23,P010-23-Y005,14L,"Tryptone + potato peptone, lower top feed rate, no EPS",48,1.82E+11,1,1/26/23,DSR,40% Sucrose,10% Maltodextrin,0.5% MgSO4,0.5,2/15/23,PVT380,380,26,,2/22/23,FALSE,light tan/white speckled pellets; free-flowing,Foil pouch,0.18,1.77E+11,0.342,33.26,-0.48
